Proximity,Lux
0,496
1,496
0,496
1,496
0,496
1,496
1,496
1,496
1,496
1,496
0,496
0,496
0,496
1,495
0,496
0,496
1,496
0,495
1,494
0,494
0,493
2,493
0,491
0,489
1,489
0,489
0,488
0,488
1,489
0,489
0,489
0,489
1,489
0,488
0,488
0,488
1,489
1,488
2,489
1,489
0,489
0,489
3,489
1,488
2,488
0,489
1,489
0,489
0,489
0,488
0,489
0,489
1,489
1,489
1,490
1,489
0,490
1,490
1,490
2,490
0,485
0,478
0,486
2,489
1,490
3,490
1,490
1,482
2,491
1,469
0,466
0,471
1,471
0,486
0,487
0,486
0,486
1,485
1,485
1,486
2,486
0,485
0,486
0,486
0,486
0,486
0,486
0,486
1,486
0,486
1,474
1,474
0,482
0,487
1,487
0,483
1,496
1,496
1,527
1,528
1,517
0,547
1,557
1,557
0,569
0,580
0,578
1,582
0,593
2,600
1,600
1,589
2,559
1,571
2,563
2,558
2,558
2,562
2,574
2,619
2,662
2,701
1,701
2,757
2,789
2,818
2,844
2,889
2,932
2,932
3,996
2,1057
2,1103
2,1140
2,1172
2,1172
2,1181
2,1161
2,1122
2,1076
2,1006
1,1006
2,950
2,949
2,1016
1,1115
1,1134
2,1156
2,1156
1,1142
2,1076
1,1009
2,1007
1,1049
1,1049
1,1094
1,1098
1,1148
1,1189
1,1207
1,1207
1,1221
1,1223
1,1192
1,1156
1,1126
1,1086
2,1086
1,1050
3,1023
3,997
2,984
3,973
2,973
2,936
2,910
3,878
3,686
4,480
4,480
5,382
7,342
9,290
12,228
15,166
22,132
26,132
30,92
38,22
50,35
59,60
64,31
72,31
85,15
104,15
110,14
105,14
101,14
107,14
115,14
117,14
134,14
168,13
182,13
205,12
254,12
318,11
359,10
403,9
427,7
453,8
462,8
422,7
376,8
310,8
247,8
168,8
136,9
149,9
159,9
168,9
172,9
177,9
181,8
196,8
220,9
212,7
211,6
183,8
123,9
79,9
50,9
37,13
26,12
20,12
16,31
13,31
12,74
8,134
7,196
5,255
3,329
3,412
5,412
4,499
3,632
3,760
3,799
3,888
3,888
3,936
3,938
2,940
2,942
2,942
2,941
2,941
2,939
3,937
2,934
2,933
2,934
2,934
2,934
2,936
2,937
2,939
2,939
2,939
2,937
2,936
2,933
2,936
2,939
2,956
2,956
3,991
3,958
3,894
4,821
0,652
0,652
6,587
9,540
10,492
12,424
15,336
19,336
23,239
30,164
39,105
50,62
61,32
71,14
76,14
89,10
100,10
124,9
144,9
167,9
191,9
248,9
284,9
328,8
383,9
460,9
519,9
578,7
580,6
560,4
524,3
515,2
508,2
511,2
516,2
520,1
526,1
528,0
532,0
533,0
532,1
528,1
526,1
527,2
531,0
531,0
529,1
524,1
520,1
526,1
529,0
529,1
531,1
528,1
528,1
528,1
526,1
523,1
519,1
